0,1,内容,索引
0.0,我们处在（）,,
1.0,资本主义时代,,
2.0,社会主义时代,,
3.0,中国特色社会主义时代,,
4.0,中国特色社会主义新时代,,
5.0,我们理解当前所处历史方位的关键词是（）,,
6.0,中国特色社会主义时代,,
7.0,资本主义时代,,
8.0,中国特色社会主义新时代,,
9.0,社会主义时代,,
10.0,在民族复兴伟大进程中，2020年的目标是（）,,
11.0,实现共产主义,,
12.0,全面建成小康社会,,
13.0,全面建成社会主义现代化强国,,
14.0,基本实现社会主义现代化,,
15.0,在民族复兴伟大进程中，2035年的目标是（）,,
16.0,全面建成社会主义现代化强国,,
17.0,实现共产主义,,
18.0,全面建成小康社会,,
19.0,基本实现社会主义现代化,,
20.0,一个人能否被社会接纳并很好实现自身价值和社会价值的关键是（）,,
21.0,是否具有良好的科学文化素养,,
22.0,是否具有良好的思想道德素质和法治素养,,
23.0,是否具有良好的心理素质,,
24.0,是否具有良好的身体素质,,
25.0,新时代大学生把握发展机遇、做好人生规划、书写时代华章的必备条件是（）,,
26.0,良好的思想道德素质和法治素养,,
27.0,良好的科学文化素养,,
28.0,良好的心理素质,,
29.0,良好的身体素质,,
30.0,作为人们的思想观念、政治立场、价值取向、道德情操和行为习惯等方面品质和能力的综合体现，反映着一个人的思想境界和道德风貌的是（）	,,
31.0,思想道德素质,,
32.0,心理素质,,
33.0,科学文化素养,,
34.0,身体素质,,
35.0,坚持和发展中国特色社会主义，要发挥道德的（）,,
36.0,强制作用,,
37.0,规范和强制作用,,
38.0,调节作用,,
39.0,引领和教化作用,,
40.0,坚持和发展中国特色社会主义，要发挥法律的（）,,
41.0,规范和强制作用,,
42.0,引领和教化作用,,
43.0,引导作用,,
44.0,强制作用,,
45.0,人应该具有的基本素质是（）,,
46.0,身体素质,,
47.0,心理素质,,
48.0,科学文化素养,,
49.0,,,
50.0,思想道德素质和法治素养,,
51.0,中国特色社会主义进入了新时代，这意味着（）,,
52.0,中国特色社会主义道路、理论、制度、文化不断发展，拓展了发展中国家走向现代化的途径，给世界上那些既希望加快发展又希望保持自身独立性的国家和民族提供了全新选择，为解决人类问题贡献了中国智慧和中国方案,,
53.0,中国已进入发达国家行列,,
54.0,科学社会主义在21世纪的中国焕发出强大生机活力，在世界上高高举起了中国特色社会主义伟大旗帜,,
55.0,近代以来久经磨难的中华民族迎来了从站起来、富起来到强起来的伟大飞跃，迎来了实现中华民族伟大复兴的光明前景,,
56.0,中国特色社会主义新时代是承前启后、继往开来、在新的历史条件下继续夺取中国特色社会主义伟大胜利的时代，是（）,,
57.0,全体中华儿女哿ν心、奋力实现中华民族伟大复兴中国梦的时代,,
58.0,决胜全面建成小康社会、进而全面建设社会主义现代化强国的时代,,
59.0,我国日益走近世界舞台中央、不断为人类作出更大贡献的时代,,
60.0,全国各族人民团结奋斗、不断创造美好生活、逐步实现全体人民共同富裕的时代,,
61.0,思想道德素质和法治素养包括（）,,
62.0,科学素养,,
63.0,思想政治素质,,
64.0,法治素养,,
65.0,道德素质,,
66.0,努力成为担当民族复兴大任的时代新人，就要（）,,
67.0,成大才，就是要有高强的本领才干，勤奋学习，全面发展,,
68.0,明大德，就是要锤炼高尚品格，崇德修身，启润青春	,,
69.0,担大任，就是要有天下兴亡、匹夫有责的担当精神，讲求奉献，实干进取,,
70.0,立大志，就是要有崇高的理想信念，牢记使命，自信自励,,
71.0,下列关于思想道德与法律的关系的说法正确的是（）,,
72.0,思想道德和法律作为上层建筑，共同服务于一定的经济基础,,
73.0,在我国，社会主义思想道德建设和法治建设紧密联系，相互补充、相互促进，为党和国家事业提供坚实的思 想基础、精神支撑和制度保障,,
74.0,思想道德建设为法治建设提供思想指引和价值基础,,
75.0,法治建设为思想道德建设提供制度支撑和法律保障,,
76.0,法律必须转化为人们内心自觉，才能真正为人们所遵行。,,
77.0,大学生成长成才的过程是一个思想道德素质和法治素养不断提升的过程。,,
78.0,思想道德素质和法治素养，是思想政治素质、道德素质和法治素养的简单相加。,,
79.0,新时代的大学生是民族复兴伟大进程的见证者和参与者，也是社会主义事业的生力军。,,
80.0,有信念、有梦想、有奋斗、有奉献的人生，才是有意义、有高度、有境界、有品位的人生。,,
